Company,Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts"
McDonald’s,Iced Coffee– Vanilla (Small),130.00,50.00,5.00,3.50,0.00,20.00,40.00,21.00,0.00,21.00,1.00,153.50
McDonald’s,Iced Coffee– Vanilla (Medium),190.00,70.00,8.00,5.00,0.00,30.00,60.00,29.00,0.00,28.00,2.00,221.00
McDonald’s,Iced Coffee– Vanilla (Large),270.00,100.00,11.00,7.00,0.00,40.00,80.00,43.00,0.00,43.00,2.00,318.00
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),60.00,50.00,5.00,3.50,0.00,20.00,70.00,8.00,0.00,1.00,1.00,63.50
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Medium),90.00,70.00,8.00,5.00,0.00,30.00,100.00,11.00,0.00,2.00,2.00,95.00
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Large),120.00,100.00,11.00,7.00,0.00,40.00,140.00,16.00,0.00,2.00,2.00,127.00
McDonald’s,Sweet Tea (Child),110.00,0.00,0.00,0.00,0.00,0.00,5.00,27.00,0.00,27.00,0.00,137.00
McDonald’s,Sweet Tea (Large),280.00,0.00,0.00,0.00,0.00,0.00,15.00,69.00,0.00,69.00,1.00,348.00
McDonald’s,Sweet Tea (Medium),180.00,0.00,0.00,0.00,0.00,0.00,10.00,45.00,0.00,45.00,1.00,224.00
McDonald’s,Sweet Tea (Small),150.00,0.00,0.00,0.00,0.00,0.00,10.00,36.00,0.00,36.00,1.00,185.00
McDonald’s,Nonfat Cappuccino (Small),60.00,0.00,0.00,0.00,0.00,5.00,85.00,9.00,0.00,9.00,6.00,63.00
McDonald’s,Nonfat Cappuccino (Medium),80.00,0.00,0.00,0.00,0.00,5.00,110.00,12.00,0.00,12.00,8.00,84.00
McDonald’s,Nonfat Cappuccino (Large),90.00,0.00,0.00,0.00,0.00,5.00,130.00,13.00,0.00,13.00,9.00,94.00
McDonald’s,Nonfat Latte (Small),90.00,0.00,0.00,0.00,0.00,5.00,115.00,13.00,0.00,13.00,9.00,94.00
McDonald’s,Nonfat Latte (Medium),110.00,0.00,0.00,0.00,0.00,5.00,140.00,15.00,0.00,15.00,10.00,115.00
McDonald’s,Nonfat Latte (Large),120.00,0.00,0.00,0.00,0.00,5.00,160.00,18.00,0.00,18.00,12.00,126.00
McDonald’s,Nonfat Caramel Cappuccino (Small),150.00,0.00,0.00,0.00,0.00,5.00,120.00,33.00,0.00,32.00,5.00,177.00
McDonald’s,Nonfat Caramel Cappuccino (Medium),190.00,0.00,0.00,0.00,0.00,5.00,150.00,41.00,0.00,41.00,6.00,225.00
McDonald’s,Nonfat Caramel Cappuccino (Large),230.00,0.00,0.00,0.00,0.00,5.00,180.00,49.00,0.00,49.00,7.00,272.00
McDonald’s,Nonfat Caramel Latte (Small),170.00,0.00,0.00,0.00,0.00,5.00,150.00,36.00,0.00,36.00,7.00,199.00
McDonald’s,Nonfat Caramel Latte (Medium),220.00,0.00,0.00,0.00,0.00,5.00,180.00,45.00,0.00,45.00,9.00,256.00
McDonald’s,Nonfat Caramel Latte (Large),260.00,0.00,0.00,0.00,0.00,5.00,220.00,53.00,0.00,53.00,10.00,303.00
McDonald’s,Nonfat Hazelnut Cappuccino (Small),150.00,0.00,0.00,0.00,0.00,5.00,70.00,34.00,0.00,34.00,5.00,179.00
McDonald’s,Nonfat Hazelnut Cappuccino (Medium),190.00,0.00,0.00,0.00,0.00,5.00,90.00,43.00,0.00,43.00,6.00,227.00
McDonald’s,Nonfat Hazelnut Cappuccino (Large),230.00,0.00,0.00,0.00,0.00,5.00,100.00,51.00,0.00,51.00,7.00,274.00
McDonald’s,Nonfat Hazelnut Latte (Small),180.00,0.00,0.00,0.00,0.00,5.00,95.00,37.00,0.00,37.00,7.00,210.00
McDonald’s,Nonfat Hazelnut Latte (Medium),220.00,0.00,0.00,0.00,0.00,5.00,115.00,46.00,0.00,46.00,9.00,257.00
McDonald’s,Nonfat Hazelnut Latte (Large),260.00,0.00,0.00,0.00,0.00,5.00,135.00,55.00,0.00,55.00,10.00,305.00
McDonald’s,Nonfat Vanilla Cappuccino (Small),150.00,0.00,0.00,0.00,0.00,5.00,70.00,34.00,0.00,34.00,5.00,179.00
McDonald’s,Nonfat Vanilla Cappuccino (Medium),190.00,0.00,0.00,0.00,0.00,5.00,90.00,42.00,0.00,42.00,6.00,226.00
McDonald’s,Nonfat Vanilla Cappuccino (Large),230.00,0.00,0.00,0.00,0.00,5.00,100.00,51.00,0.00,51.00,7.00,274.00
McDonald’s,Nonfat Vanilla Latte (Small),180.00,0.00,0.00,0.00,0.00,5.00,95.00,37.00,0.00,37.00,7.00,210.00
McDonald’s,Nonfat Vanilla Latte (Medium),220.00,0.00,0.00,0.00,0.00,5.00,115.00,46.00,0.00,46.00,9.00,257.00
McDonald’s,Nonfat Vanilla Latte (Large),260.00,0.00,0.00,0.00,0.00,5.00,135.00,55.00,0.00,55.00,10.00,305.00
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50.00,0.00,0.00,0.00,0.00,5.00,100.00,15.00,0.00,8.00,5.00,53.00
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70.00,0.00,0.00,0.00,0.00,5.00,130.00,19.00,0.00,10.00,7.00,73.00
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80.00,0.00,0.00,0.00,0.00,5.00,150.00,22.00,0.00,11.00,8.00,83.00
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Small),80.00,0.00,0.00,0.00,0.00,5.00,130.00,18.00,0.00,11.00,7.00,84.00
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90.00,0.00,0.00,0.00,0.00,5.00,160.00,22.00,0.00,13.00,9.00,94.00
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Large),110.00,0.00,0.00,0.00,0.00,5.00,190.00,27.00,0.00,15.00,11.00,114.00
McDonald’s,Mocha with Nonfat Milk (Small),240.00,45.00,5.00,3.00,0.00,5.00,130.00,41.00,0.00,34.00,7.00,270.00
McDonald’s,Mocha with Nonfat Milk (Medium),280.00,50.00,6.00,3.50,0.00,10.00,160.00,50.00,0.00,42.00,8.00,317.50
McDonald’s,Mocha with Nonfat Milk (Large),330.00,50.00,6.00,3.50,0.00,10.00,190.00,58.00,0.00,50.00,10.00,373.50
McDonald’s,Hot Chocolate with Nonfat Milk (Small),250.00,45.00,5.00,3.00,0.00,10.00,140.00,43.00,0.00,37.00,8.00,282.00
McDonald’s,Hot Chocolate with Nonfat Milk (Medium),310.00,50.00,6.00,3.50,0.00,10.00,190.00,55.00,0.00,47.00,11.00,349.50
McDonald’s,Hot Chocolate with Nonfat Milk (Large),390.00,50.00,6.00,3.50,0.00,10.00,250.00,68.00,0.00,59.00,16.00,436.50
McDonald’s,Iced Nonfat Latte (Small),50.00,0.00,0.00,0.00,0.00,5.00,70.00,7.00,0.00,7.00,5.00,52.00
McDonald’s,Iced Nonfat Latte (Medium),60.00,0.00,0.00,0.00,0.00,5.00,90.00,9.00,0.00,9.00,6.00,63.00
McDonald’s,Iced Nonfat Latte (Large),70.00,0.00,0.00,0.00,0.00,5.00,105.00,11.00,0.00,11.00,7.00,74.00
McDonald’s,Iced Nonfat Caramel Latte (Small),140.00,0.00,0.00,0.00,0.00,0.00,105.00,30.00,0.00,30.00,3.00,167.00
McDonald’s,Iced Nonfat Caramel Latte (Medium),150.00,0.00,0.00,0.00,0.00,5.00,120.00,32.00,0.00,32.00,5.00,177.00
McDonald’s,Iced Nonfat Caramel Latte (Large),190.00,0.00,0.00,0.00,0.00,5.00,150.00,40.00,0.00,40.00,6.00,224.00
McDonald’s,Iced Nonfat Hazelnut Latte (Small),140.00,0.00,0.00,0.00,0.00,0.00,50.00,32.00,0.00,32.00,3.00,169.00
McDonald’s,Iced Nonfat Hazelnut Latte (Medium),150.00,0.00,0.00,0.00,0.00,5.00,70.00,33.00,0.00,33.00,5.00,178.00
McDonald’s,Iced Nonfat Hazelnut Latte (Large),190.00,0.00,0.00,0.00,0.00,5.00,80.00,42.00,0.00,42.00,6.00,226.00
McDonald’s,Iced Nonfat Vanilla Latte (Small),140.00,0.00,0.00,0.00,0.00,0.00,50.00,31.00,0.00,31.00,3.00,168.00
McDonald’s,Iced Nonfat Vanilla Latte (Medium),150.00,0.00,0.00,0.00,0.00,5.00,70.00,33.00,0.00,33.00,5.00,178.00
McDonald’s,Iced Nonfat Vanilla Latte (Large),190.00,0.00,0.00,0.00,0.00,5.00,85.00,41.00,0.00,41.00,6.00,225.00
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40.00,0.00,0.00,0.00,0.00,0.00,85.00,13.00,0.00,5.00,4.00,41.00
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50.00,0.00,0.00,0.00,0.00,5.00,100.00,14.00,0.00,6.00,5.00,51.00
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60.00,0.00,0.00,0.00,0.00,5.00,130.00,19.00,0.00,8.00,6.00,62.00
McDonald’s,Iced Mocha with Nonfat Milk (Medium),270.00,70.00,8.00,4.50,0.00,10.00,140.00,43.00,0.00,35.00,7.00,302.50
McDonald’s,Iced Nonfat Caramel Mocha (Large),300.00,60.00,6.00,4.00,0.00,10.00,230.00,49.00,0.00,45.00,11.00,338.00
McDonald’s,Iced Nonfat Caramel Mocha (Medium),240.00,60.00,6.00,4.00,0.00,10.00,190.00,37.00,0.00,34.00,9.00,269.00
McDonald’s,Iced Nonfat Caramel Mocha (Small),200.00,50.00,6.00,4.00,0.00,10.00,140.00,29.00,0.00,26.00,6.00,224.00
McDonald’s,Nonfat Caramel Mocha (Large),280.00,35.00,4.00,2.50,0.00,10.00,260.00,49.00,0.00,46.00,12.00,316.50
McDonald’s,Nonfat Caramel Mocha (Medium),240.00,35.00,4.00,2.50,0.00,5.00,200.00,41.00,0.00,38.00,9.00,271.50
McDonald’s,Nonfat Caramel Mocha (Small),200.00,35.00,4.00,2.50,0.00,5.00,170.00,34.00,0.00,31.00,8.00,225.50
McDonald’s,Cappuccino (Small),120.00,60.00,7.00,4.00,0.00,20.00,85.00,9.00,0.00,9.00,6.00,127.00
McDonald’s,Cappuccino (Medium),140.00,70.00,8.00,4.50,0.00,25.00,105.00,11.00,0.00,11.00,8.00,147.50
McDonald’s,Cappuccino (Large),180.00,90.00,10.00,6.00,0.00,30.00,130.00,13.00,0.00,13.00,9.00,190.00
McDonald’s,Latte (Small) ,150.00,70.00,8.00,4.50,0.00,25.00,105.00,11.00,0.00,11.00,8.00,157.50
McDonald’s,Latte (Medium),180.00,90.00,10.00,6.00,0.00,30.00,130.00,13.00,0.00,13.00,10.00,189.00
McDonald’s,Latte (Large),210.00,100.00,11.00,7.00,0.00,35.00,150.00,16.00,0.00,16.00,11.00,222.00
McDonald’s,Caramel Cappuccino (Small),200.00,45.00,5.00,3.00,0.00,15.00,125.00,32.00,0.00,32.00,5.00,230.00
McDonald’s,Caramel Cappuccino (Medium),240.00,50.00,6.00,3.50,0.00,20.00,150.00,41.00,0.00,40.00,6.00,277.50
McDonald’s,Caramel Cappuccino (Large),290.00,70.00,8.00,4.50,0.00,25.00,190.00,49.00,0.00,49.00,8.00,335.50
McDonald’s,Caramel Latte (Small),230.00,60.00,7.00,4.00,0.00,20.00,140.00,35.00,0.00,35.00,7.00,262.00
McDonald’s,Caramel Latte (Medium),280.00,70.00,8.00,4.50,0.00,25.00,170.00,43.00,0.00,43.00,8.00,319.50
McDonald’s,Caramel Latte (Large),330.00,80.00,9.00,5.00,0.00,30.00,210.00,52.00,0.00,51.00,9.00,377.00
McDonald’s,Hazelnut Cappuccino (Small),200.00,45.00,5.00,3.00,0.00,15.00,70.00,34.00,0.00,34.00,5.00,232.00
McDonald’s,Hazelnut Cappuccino (Medium),240.00,50.00,6.00,3.50,0.00,20.00,85.00,42.00,0.00,42.00,6.00,279.50
McDonald’s,Hazelnut Cappuccino (Large),290.00,70.00,8.00,4.50,0.00,25.00,105.00,51.00,0.00,51.00,7.00,338.50
McDonald’s,Hazelnut Latte (Small),230.00,60.00,7.00,4.00,0.00,20.00,90.00,36.00,0.00,36.00,7.00,263.00
McDonald’s,Hazelnut Latte (Medium),280.00,70.00,8.00,4.50,0.00,25.00,110.00,45.00,0.00,45.00,8.00,321.50
McDonald’s,Hazelnut Latte (Large),330.00,80.00,9.00,5.00,0.00,30.00,130.00,53.00,0.00,53.00,9.00,379.00
McDonald’s,Vanilla Cappuccino (Small),200.00,45.00,5.00,3.00,0.00,15.00,70.00,34.00,0.00,34.00,5.00,232.00
McDonald’s,Vanilla Cappuccino (Medium),240.00,50.00,6.00,3.50,0.00,20.00,85.00,42.00,0.00,42.00,6.00,279.50
McDonald’s,Vanilla Cappuccino (Large),290.00,70.00,8.00,4.50,0.00,25.00,105.00,51.00,0.00,51.00,7.00,338.50
McDonald’s,Vanilla Latte (Small),230.00,60.00,7.00,4.00,0.00,20.00,90.00,36.00,0.00,36.00,7.00,263.00
McDonald’s,Vanilla Latte (Medium),280.00,70.00,8.00,4.50,0.00,25.00,110.00,44.00,0.00,44.00,8.00,320.50
McDonald’s,Vanilla Latte (Large),330.00,80.00,9.00,5.00,0.00,30.00,130.00,53.00,0.00,53.00,9.00,379.00
McDonald’s,Cappuccino with Sugar Free Vanilla Syrup (Small),100.00,50.00,5.00,3.00,0.00,15.00,105.00,15.00,0.00,7.00,5.00,105.00
McDonald’s,Cappuccino with Sugar Free Vanilla Syrup (Medium),120.00,60.00,6.00,3.50,0.00,20.00,130.00,18.00,0.00,9.00,6.00,126.50
McDonald’s,Cappuccino with Sugar Free Vanilla Syrup (Large),150.00,70.00,8.00,4.50,0.00,25.00,160.00,22.00,0.00,11.00,8.00,157.50
McDonald’s,Latte with Sugar Free Vanilla Syrup (Small),130.00,60.00,7.00,4.00,0.00,20.00,125.00,17.00,0.00,10.00,7.00,137.00
McDonald’s,Latte with Sugar Free Vanilla Syrup (Medium),160.00,70.00,8.00,5.00,0.00,25.00,150.00,21.00,0.00,11.00,8.00,168.00
McDonald’s,Latte with Sugar Free Vanilla Syrup (Large),180.00,90.00,10.00,6.00,0.00,30.00,180.00,25.00,0.00,13.00,10.00,189.00
McDonald’s,Mocha (Small),280.00,100.00,11.00,6.00,0.00,20.00,125.00,40.00,0.00,33.00,6.00,313.00
McDonald’s,Mocha (Medium),330.00,110.00,12.00,7.00,0.00,25.00,150.00,48.00,0.00,41.00,7.00,371.00
McDonald’s,Mocha (Large),400.00,130.00,14.00,8.00,0.50,30.00,190.00,58.00,0.00,49.00,10.00,447.00
McDonald’s,Hot Chocolate (Small),300.00,110.00,12.00,7.00,0.00,25.00,135.00,41.00,0.00,35.00,8.00,334.00
McDonald’s,Hot Chocolate (Medium),380.00,130.00,15.00,9.00,0.50,30.00,170.00,53.00,0.00,45.00,10.00,424.00
McDonald’s,Hot Chocolate (Large),460.00,160.00,18.00,10.00,0.50,40.00,220.00,63.00,0.00,54.00,13.00,511.00
McDonald’s,Iced Latte (Small),80.00,40.00,4.50,2.50,0.00,15.00,65.00,6.00,0.00,6.00,4.00,84.50
McDonald’s,Iced Latte (Medium),100.00,50.00,6.00,3.50,0.00,15.00,80.00,8.00,0.00,8.00,6.00,105.50
McDonald’s,Iced Latte (Large),140.00,70.00,8.00,4.50,0.00,25.00,105.00,10.00,0.00,10.00,7.00,147.50
McDonald’s,Iced Caramel Latte (Small),160.00,25.00,3.00,1.50,0.00,10.00,100.00,29.00,0.00,29.00,3.00,187.50
McDonald’s,Iced Caramel Latte (Medium),180.00,40.00,4.50,2.50,0.00,15.00,120.00,31.00,0.00,31.00,4.00,209.50
McDonald’s,Iced Caramel Latte (Large),230.00,50.00,6.00,3.50,0.00,15.00,150.00,40.00,0.00,40.00,6.00,267.50
McDonald’s,Iced Hazelnut Latte (Small),160.00,25.00,3.00,1.50,0.00,10.00,45.00,31.00,0.00,31.00,3.00,189.50
McDonald’s,Iced Hazelnut Latte (Medium),180.00,40.00,4.50,2.50,0.00,15.00,65.00,33.00,0.00,33.00,4.00,211.50
McDonald’s,Iced Hazelnut Latte (Large),230.00,50.00,6.00,3.50,0.00,15.00,85.00,41.00,0.00,41.00,6.00,268.50
McDonald’s,Iced Vanilla Latte (Small),160.00,25.00,3.00,1.50,0.00,10.00,45.00,31.00,0.00,31.00,3.00,189.50
McDonald’s,Iced Vanilla Latte (Medium),190.00,40.00,4.50,2.50,0.00,15.00,70.00,33.00,0.00,33.00,5.00,220.50
McDonald’s,Iced Vanilla Latte (Large),230.00,50.00,6.00,3.50,0.00,15.00,85.00,41.00,0.00,41.00,6.00,268.50
McDonald’s,Iced Latte with Sugar Free Vanilla Syrup (Small),60.00,30.00,3.00,2.00,0.00,10.00,80.00,12.00,0.00,4.00,3.00,63.00
McDonald’s,Iced Latte with Sugar Free Vanilla Syrup (Medium),90.00,40.00,5.00,3.00,0.00,15.00,105.00,14.00,0.00,6.00,5.00,94.00
McDonald’s,Iced Latte with Sugar Free Vanilla Syrup (Large),110.00,50.00,6.00,3.50,0.00,15.00,130.00,19.00,0.00,8.00,6.00,115.50
McDonald’s,Iced Mocha (Medium),310.00,120.00,13.00,8.00,0.00,25.00,140.00,42.00,0.00,35.00,7.00,346.00
McDonald’s,Caramel Mocha (Large),360.00,130.00,14.00,8.00,0.50,35.00,220.00,47.00,0.00,46.00,10.00,404.00
McDonald’s,Caramel Mocha (Medium),290.00,100.00,12.00,7.00,0.00,25.00,180.00,39.00,0.00,38.00,8.00,327.00
McDonald’s,Caramel Mocha (Small),250.00,90.00,11.00,6.00,0.00,25.00,150.00,33.00,0.00,31.00,7.00,280.00
McDonald’s,Iced Caramel Mocha (Large),380.00,140.00,16.00,9.00,0.50,35.00,210.00,48.00,0.00,46.00,10.00,425.00
McDonald’s,Iced Caramel Mocha (Medium),300.00,120.00,14.00,8.00,0.00,30.00,160.00,36.00,0.00,33.00,8.00,333.00
McDonald’s,Iced Caramel Mocha (Small),240.00,100.00,12.00,7.00,0.00,25.00,130.00,29.00,0.00,26.00,6.00,267.00
McDonald’s,Frappe Caramel (Small),450.00,180.00,20.00,13.00,1.00,55.00,135.00,61.00,0.00,57.00,6.00,514.00
McDonald’s,Frappe Caramel (Medium),550.00,220.00,24.00,15.00,1.00,70.00,160.00,76.00,0.00,71.00,8.00,628.00
McDonald’s,Frappe Caramel (Large),680.00,260.00,29.00,18.00,1.50,85.00,200.00,94.00,0.00,88.00,10.00,776.00
McDonald’s,Frappe Mocha (Small),450.00,180.00,20.00,13.00,1.00,55.00,130.00,62.00,1.00,56.00,7.00,512.00
McDonald’s,Frappe Mocha (Medium),560.00,210.00,24.00,15.00,1.00,65.00,160.00,78.00,1.00,70.00,8.00,637.00
McDonald’s,Frappe Mocha (Large),680.00,250.00,28.00,18.00,1.00,80.00,200.00,96.00,1.00,87.00,10.00,775.00
McDonald’s,Strawberry Banana Smoothie (Large),330.00,10.00,1.00,0.50,0.00,5.00,55.00,77.00,4.00,70.00,3.00,397.50
McDonald’s,Strawberry Banana Smoothie (Medium),260.00,5.00,1.00,0.00,0.00,5.00,40.00,60.00,3.00,54.00,2.00,312.00
McDonald’s,Strawberry Banana Smoothie (Small),210.00,5.00,0.50,0.00,0.00,5.00,35.00,49.00,2.00,44.00,2.00,252.00
McDonald’s,Wild Berry Smoothie (Large),320.00,10.00,1.00,0.50,0.00,5.00,45.00,75.00,4.00,69.00,3.00,386.50
McDonald’s,Wild Berry Smoothie (Medium),260.00,5.00,1.00,0.00,0.00,5.00,35.00,60.00,4.00,55.00,3.00,312.00
McDonald’s,Wild Berry Smoothie (Small),210.00,5.00,0.50,0.00,0.00,5.00,30.00,48.00,3.00,44.00,2.00,252.00
Burger King,Whopper® Sandwich,660.00,360.00,40.00,12.00,1.50,90.00,980.00,49.00,2.00,11.00,28.00,655.00
Burger King,Whopper® Sandwich with Cheese,740.00,420.00,46.00,16.00,2.00,115.00,1340.00,50.00,2.00,11.00,32.00,735.00
Burger King,Bacon & Cheese Whopper® Sandwich,790.00,460.00,51.00,17.00,2.00,125.00,1560.00,50.00,2.00,11.00,35.00,783.00
Burger King,Double Whopper® Sandwich,900.00,520.00,58.00,20.00,3.00,175.00,1050.00,49.00,2.00,11.00,48.00,883.00
Burger King,Double Whopper® Sandwich with Cheese,980.00,580.00,64.00,24.00,3.00,195.00,1410.00,50.00,2.00,11.00,52.00,963.00
Burger King,Triple Whopper® Sandwich,1130.00,680.00,75.00,28.00,4.00,255.00,1120.00,49.00,2.00,11.00,67.00,1102.00
Burger King,Triple Whopper® Sandwich with Cheese,1220.00,740.00,82.00,32.00,4.50,280.00,1470.00,50.00,2.00,11.00,71.00,1192.00
Burger King,Whopper JR.® Sandwich,310.00,160.00,18.00,5.00,0.50,40.00,390.00,27.00,1.00,7.00,13.00,309.00
Burger King,Bacon King Sandwich,1150.00,710.00,79.00,31.00,3.50,240.00,2150.00,49.00,2.00,10.00,61.00,1130.00
Burger King,Cheddar Bacon King Sandwich,1190.00,750.00,84.00,33.00,3.50,235.00,1930.00,50.00,2.00,11.00,64.00,1170.00
Burger King,Single Quarter Pound King Sandwich,580.00,260.00,29.00,13.00,1.50,105.00,1310.00,49.00,2.00,10.00,32.00,571.00
Burger King,Double Quarter Pound King Sandwich,900.00,480.00,54.00,25.00,3.00,210.00,1740.00,50.00,2.00,11.00,56.00,880.00
Burger King,Single Stacker King,700.00,380.00,42.00,16.00,2.00,125.00,1360.00,48.00,1.00,10.00,35.00,691.00
Burger King,Double Stacker King,1050.00,610.00,68.00,28.00,3.50,235.00,1870.00,49.00,1.00,11.00,61.00,1028.00
Burger King,IMPOSSIBLE Whopper® Sandwich,630.00,310.00,34.00,11.00,0.00,10.00,1080.00,58.00,4.00,12.00,25.00,628.00
Burger King,Hamburger,240.00,90.00,10.00,3.50,0.50,35.00,380.00,26.00,1.00,6.00,13.00,237.00
Burger King,Cheeseburger,280.00,120.00,13.00,6.00,0.50,45.00,560.00,27.00,1.00,7.00,15.00,278.00
Burger King,Double Hamburger,350.00,160.00,18.00,7.00,1.00,70.00,410.00,26.00,1.00,6.00,21.00,342.00
Burger King,Double Cheeseburger,390.00,190.00,21.00,9.00,1.50,85.00,590.00,27.00,1.00,7.00,23.00,383.00
Burger King,Extra Long Cheeseburger,630.00,330.00,37.00,14.00,1.50,100.00,1050.00,45.00,2.00,9.00,29.00,624.00
Burger King,Bacon Cheeseburger,320.00,140.00,16.00,7.00,0.50,55.00,710.00,27.00,1.00,7.00,17.00,317.00
Burger King,Bacon Double Cheeseburger,420.00,210.00,24.00,10.00,1.50,90.00,740.00,27.00,1.00,7.00,25.00,412.00
Burger King,Crispy Chicken Sandwich,670.00,370.00,41.00,7.00,0.00,60.00,1080.00,54.00,2.00,8.00,23.00,662.00
Burger King,Spicy Crispy Chicken Sandwich,700.00,370.00,42.00,7.00,0.00,65.00,1140.00,57.00,3.00,8.00,25.00,690.00
Burger King,Original Chicken Sandwich,660.00,360.00,40.00,7.00,0.00,75.00,1170.00,48.00,2.00,5.00,28.00,644.00
Burger King,Bacon & Cheese Crispy Chicken Sandwich,800.00,460.00,52.00,13.00,1.00,95.00,1650.00,55.00,2.00,8.00,30.00,791.00
Burger King,BBQ Bacon Crispy Chicken Sandwich,790.00,440.00,49.00,10.00,0.50,80.00,1630.00,60.00,2.00,13.00,28.00,785.00
Burger King,Crispy Chicken Jr.,450.00,270.00,30.00,5.00,0.00,30.00,780.00,34.00,2.00,5.00,12.00,448.00
Burger King,Spicy Crispy Chicken Jr.,390.00,190.00,21.00,3.50,0.00,30.00,740.00,37.00,2.00,6.00,12.00,388.00
Burger King,Chicken Nuggets- 4pc,170.00,100.00,11.00,1.50,0.00,25.00,310.00,11.00,1.00,0.00,8.00,164.00
Burger King,Chicken Nuggets- 6pc,260.00,150.00,16.00,2.50,0.00,35.00,470.00,16.00,1.00,0.00,12.00,251.00
Burger King,Chicken Nuggets- 10pc,430.00,240.00,27.00,4.50,0.00,55.00,780.00,27.00,2.00,0.00,20.00,415.00
Burger King,Chicken Nuggets- 20pc,860.00,490.00,54.00,9.00,0.00,115.00,1570.00,53.00,3.00,1.00,39.00,831.00
Burger King,Spicy Chicken Nuggets- 4pc,210.00,130.00,15.00,3.00,0.00,20.00,570.00,11.00,2.00,0.00,8.00,205.00
Burger King,Spicy Chicken Nuggets- 6pc,320.00,200.00,22.00,4.50,0.00,35.00,850.00,17.00,3.00,0.00,12.00,313.00
Burger King,Spicy Chicken Nuggets- 10 pc,530.00,330.00,37.00,7.00,0.00,55.00,1420.00,28.00,4.00,1.00,20.00,518.00
Burger King,Spicy Chicken Nuggets- 20 pc,1050.00,670.00,74.00,15.00,0.00,110.00,2840.00,56.00,9.00,1.00,40.00,1026.00
Burger King,Chicken Fries – 9 pc.,280.00,150.00,17.00,2.50,0.00,35.00,850.00,20.00,1.00,1.00,13.00,271.00
Burger King,Crispy Taco,170.00,80.00,9.00,3.00,0.00,10.00,410.00,19.00,2.00,1.00,5.00,169.00
Burger King,BIG FISH Sandwich,510.00,250.00,28.00,4.50,0.00,30.00,1180.00,51.00,2.00,7.00,16.00,506.00
Burger King,Garden Chicken Salad with Crispy Chicken – no dressing,440.00,220.00,25.00,7.00,0.00,75.00,930.00,31.00,3.00,4.00,25.00,426.00
Burger King,Club Salad with Crispy Chicken – no dressing,540.00,300.00,33.00,10.00,0.00,95.00,1380.00,31.00,3.00,5.00,31.00,524.00
Burger King,Garden Side Salad – w/o dressing,60.00,35.00,4.00,2.50,0.00,10.00,95.00,3.00,1.00,2.00,4.00,61.00
Burger King,Ken’s Ranch Dressing,260.00,250.00,28.00,4.00,0.00,10.00,240.00,2.00,0.00,2.00,1.00,265.00
Burger King,Ken’s Golden Italian Dressing,160.00,150.00,17.00,2.50,0.00,0.00,380.00,4.00,0.00,3.00,0.00,166.00
Burger King,Ken’s Lite Honey Balsamic Vinaigrette,120.00,70.00,8.00,1.00,0.00,0.00,220.00,14.00,0.00,11.00,0.00,132.00
Burger King,Buttery Garlic Croutons- Packet,60.00,20.00,2.50,0.00,0.00,10.00,180.00,9.00,0.00,1.00,1.00,60.00
Burger King,Onion Rings – value,150.00,70.00,8.00,1.50,0.00,0.00,400.00,19.00,1.00,2.00,1.00,153.00
Burger King,Onion Rings – small,320.00,150.00,16.00,3.00,0.00,0.00,840.00,41.00,3.00,4.00,3.00,324.00
Burger King,Onion Rings – medium,410.00,190.00,21.00,3.50,0.00,0.00,1080.00,53.00,4.00,5.00,4.00,415.00
Burger King,Onion Rings – large,500.00,230.00,25.00,4.50,0.00,0.00,1310.00,64.00,5.00,7.00,5.00,507.00
Burger King,French Fries – value (unsalted),220.00,80.00,9.00,1.50,0.00,0.00,210.00,34.00,3.00,1.00,2.00,221.00
Burger King,French Fries – small,320.00,120.00,13.00,2.00,0.00,0.00,300.00,49.00,5.00,1.00,4.00,319.00
Burger King,French Fries – medium,380.00,140.00,16.00,2.00,0.00,0.00,360.00,58.00,6.00,1.00,4.00,379.00
Burger King,French Fries – large,430.00,160.00,18.00,2.50,0.00,0.00,410.00,66.00,7.00,2.00,5.00,430.00
Burger King,Kids Oatmeal,170.00,30.00,3.00,1.50,0.00,5.00,260.00,32.00,3.00,12.00,4.00,180.00
Burger King,Chicken Nuggets- 4pc,170.00,100.00,11.00,1.50,0.00,25.00,310.00,11.00,1.00,0.00,8.00,164.00
